No.,SAMPLE_ID,식품명,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),트랜스 지방산(g)
254,R001753-ZZ-AVG,"송아지 부산물, 미국산, 간, 생것",전국(대표),2019,농축산물,육류,R001753,USDA('15),100,140,19.93,4.85,2.91,0,77,334,1.56,0.215
255,R001754-ZZ-AVG,"송아지 부산물, 미국산, 간, 삶은것",전국(대표),2019,농축산물,육류,R001754,USDA('15),100,192,28.42,6.26,3.77,0,78,511,1.986,0.305
256,R001755-ZZ-AVG,"송아지 부산물, 미국산, 골, 생것",전국(대표),2019,농축산물,육류,R001755,USDA('15),100,118,10.32,8.21,0,0,127,1590,1.91,0
257,R001756-ZZ-AVG,"송아지 부산물, 미국산, 골, 삶은것",전국(대표),2019,농축산물,육류,R001756,USDA('15),100,136,11.48,9.63,0,0,156,3100,2.18,0
258,R001757-ZZ-AVG,"송아지 부산물, 미국산, 신장, 생것",전국(대표),2019,농축산물,육류,R001757,USDA('15),100,99,15.76,3.12,0.85,0,178,364,0.96,0
259,R001758-ZZ-AVG,"송아지 부산물, 미국산, 신장, 삶은것",전국(대표),2019,농축산물,육류,R001758,USDA('15),100,163,26.32,5.66,0,0,110,791,1.74,0
260,R001759-ZZ-AVG,"송아지 부산물, 미국산, 심장, 생것",전국(대표),2019,농축산물,육류,R001759,USDA('15),100,110,17.18,3.98,0.08,0,77,104,1.07,0
261,R001760-ZZ-AVG,"송아지 부산물, 미국산, 심장, 삶은것",전국(대표),2019,농축산물,육류,R001760,USDA('15),100,186,29.12,6.75,0.13,0,58,176,1.82,0
262,R001761-ZZ-AVG,"송아지 부산물, 미국산, 허파, 생것",전국(대표),2019,농축산물,육류,R001761,USDA('15),100,90,16.3,2.3,0,0,108,229,0.79,0
263,R001762-ZZ-AVG,"송아지 부산물, 미국산, 허파, 삶은것",전국(대표),2019,농축산물,육류,R001762,USDA('15),100,104,18.74,2.64,0,0,56,263,0.91,0
264,R001763-ZZ-AVG,"송아지 부산물, 미국산, 혀, 생것",전국(대표),2019,농축산물,육류,R001763,USDA('15),100,131,17.18,5.48,1.91,0,82,62,2.35,0
